,평점,리뷰
5964,5,늘 만족하규 사용합니다
5965,5,당일배송이라 배송도 빨리 왔구 정품이길 바래봐요 딱히 어디 의심되는 부분은 없는거 같아 신어요 정싸이즈는 품절이라 크게 시켰더니 좀 크긴한데 끈 조여서 신으니 괜찮네요
5966,5,늘 만족하규 사용합니다
5967,5,아주이쁩니다. 많이파세요.여자친구가 아주맘에 들어하네요
5968,4,예쁘고 좋아요 쟌 신을거같아요
5969,5,"이뻐요 잘신을게요~
화이트는 진리이네요^^"
5970,5,"이뻐요 잘신을게요~
화이트는 진리이네요^^"
5971,5,"신랑 선물로 사줬는데 넘 맘에 들어하네여
원래 265신는데 스포츠 양말 신고 신기에는 270이 딱 좋다구 하네여"
5972,5,"이모델 너무 갖고 싶었는데 드디어 내손에 ㅜㅜ
정품으로 잘 포장해주셔서 감사합니다."
5973,4,한사이즈 업해서 샀어요. 발볼 적당히 잘 맞네요
5974,4,한사이즈 업해서 샀어요. 발볼 적당히 잘 맞네요
5975,5,사이즈도딱맞고 신발도 너무이쁘네요 잘신을께요
5976,4,"아들사줬는데 발이 커보이고 끈이 엄청 길어요.
정품아닌줄... 깜놀했어요."
5977,5,학생이 너무 좋아하네요
5978,5,리뷰가 없어서 고민끝에 정품맞다고 해서 주문했는데 실제로 받아보니 제품도 너무 예쁘고 무엇보다 배송이 진짜 빨랐어요 저는 발볼이 넓어서 235~240신는데 240사이즈로 시켰는데 딱맞았어요
5979,4,"좋아요
실물이 더 아쁘네요~~"
5980,4,"좋아요
실물이 더 아쁘네요~~"
5981,5,너무편하고생각보다보는게훨씬이뻐요
5982,5,잘 신겠습니다 감사합니다
5983,5,상품만족~~^^신랑 선물로 사줬더니 조아하네여
5984,5,신발 엄청이쁘고 배달도엄청빨리오네요
5985,5,탭다뜯어져있고 탭에기스가 왜나있는지  신발 뒤에는원래 이렇게 다뜯긴거처럼 되있나요? 하나는정상인데 왼쪽은 다뜯겨있네요  그리고 밑창은 중고처럼 검은색으로 떼묻어있는데 원래이런가요?    뭐주문해서 이런적처음인데  빠른답변부탁드립니다.
5986,5,마감처리가 깔끔하고 배송도 빨라서 좋습니다.
5987,5,공홈에서 못구하던걸 정말 저렴하게 잘 구매했어요 딱 좋아요
5988,5,공홈에서 못구하던걸 정말 저렴하게 잘 구매했어요 딱 좋아요
5989,5,마감이 좀 아쉽네요. 워낙 유명한 제품이라 사이즈 구하기도 힘든데 살짝 아쉽네요~ 배송은 무지 빠르네요...
5990,5,좋아요굿굿
5991,4,중학생 아들사줬더니 좋아합니다
5992,4,좋아요 추천합니다 너무 깔끔하고 이쁜데 많이 비싼편이네요.  그래도 아이가 너무 마음에 들어합니다.
5993,5,좋은 가격에 잘 구매했습니다.
5994,3,근데 배송이 별로에요 신발은 엄청이뻐요
5995,4,배송 빠르네요백화점 은 품절
5996,5,"잘 받았습니다
배송도 빠르고 좋네요~^^"
5997,5,"잘 받았습니다
배송도 빠르고 좋네요~^^"
5998,5,상품이좋아요다음에또구매할게요.
5999,5,"아주 만족스러운 제품입니다
나이키 에어맥스 그중에97 그냥 사야지요
최고에여"
6000,5,배송토 빠르고 좋아요~~~
6001,5,배송도 빠르고 이뻐요ㅎ
6002,5,아주 좋습니다~~~~~~~
6003,5,상품 받아서 아들 줬는데  넘 좋아하네요^^ 신고싶었던 신발인데  라며...현관에  신발이 빛이나요  친구들이 와서  벗어놓은 신발중 간지가 장난 아니네요
6004,5,구입 전에 사이즈 때문에 고민을 정말 많이 했습니다. 발볼이 작게나왔다고 해서 반치수 업해서 했는데 그냥 정사이즈 해도 잘 맞았을 것 같네요. 살짝 크네요 ㅠ 신발은 정말 예쁩니다 잘 신을게요
6005,5,"작은아들이  싣고싶다고  주문했는데 받고 만족합니다
신발  싣고나갈때마다  웃음가득 ㅎㅎ"
6006,5,백화점 상품이라 믿고 구매했어요 만족합니다
6007,5,쿠폰활용 잘 샀어요
6008,5,아들 사줬는데 맘에들어해요
6009,5,나이키박스 도 이쁘고 신발도 이뻐서요 그리고 제일마음에 드는것는 신발 모양이 이뻐서요
6010,5,평점만 제공되는 상품평입니다.
6011,5,ㄴ역시 97트리풀화이트입니다.
6012,5,잘받았습니다 잘받았습니다
6013,5,"발볼 높은 분들은 정사이즈보다 반업 하시길 바랍니다. 80신는데 85샀더니 딱 맞네요.
좋은상품 받아서 기분이 좋네요~"
6014,5,비닐로 포장한번 더해서 와서 좋네요. 신발은 예쁩니다.
6015,1,신발 박음질을 두번해서 구멍이 보이는데하자가 많아서 여러번 반품했는데 제품도 구하기 어렵고 귀찮아서 그냥신을께요
6016,5,저렴하게 구매했습니다. 굳굳 강추에요. 배송도 빠르고 포장도 굳이네요.
6017,4,배송이 넘 느려서 별하나 뺐어요..
6018,5,좋인요
6019,5,"좋아요.,? ! 배송빠르고 좋아요"
6020,5,실물이 좋아요. 사이즈 작게 나온다고 했는데 저한테는 정사이즈가 맞내요. 생각했던거하고 같아서 맘에 드내요. 잘 신고 다닐께요
6021,4,"싸이즈가 없어 기다리다 이번에 구매하게 됐어요.
에어맥스라인치고 쿠션이 많이 부족하지만 디자인으로 만족할게요. 백화점배송이라 믿을만했고 배송검수 잘해주셔서 좋은제품 잘 받은거같네요."
6022,5,배송이 빨라서 좋았습니다! 깔끔하고 저렴하게 잘샀습니다! 고맙습니다!
6023,2,"잘 받았는데 딱 봐도 누가 반품한 거 같네요
신발 밑창에 때 묻어있고
신발 끈 3군대에 끈끈한 딱풀 같은 게 붙어있어요"
6024,5,워낙 금방 품절되서 바로 구입했어요. 너무 예뻐요.
6025,5,"트리플화이트 나코 제품구매 해서 좋네요
디자인 마음에 들고 착용감은 기대보다 덜하긴 한데 편하긴 하네요"
6026,5,너무너무너무너무 좋아요
6027,5,너무너무너무너무 좋아요
6028,5,반치수 크게 샀는데 정사이즈로 가도 될것 같아요
6029,5,역시 예쁘네요 왜 이제야 샀는지~
6030,4,이뿌네요  발도 편하네요
6031,5,역시 예쁘네요 왜 이제야 샀는지~
6032,5,역시 나이키에어맥스97 트리플화이트는 무조건 사야하네요 실물깡패는 이런 신발을 두고 하는 말인 듯 합니다. 너무너무 이쁘네요 선물용으로 구입한 것이 아쉽네요ㅜㅜ
6033,3,불량 요소가 있지만 귀찮아서 그냥 신어요
6034,5,나이키 운동화 중 꼭 하나가 있어하는 제품 입니다. 정말 어디에도 신어도 어울리고 폼나는 제품이기에 강력추천합니다. 선물하기에도 좋고 남자여자 다 좋아합니다.
6035,5,너무나 이뻐요..구하기 어려운데 잘산듯요
6036,3,신발 밑창이 너무 미끄러워요
6037,5,잘 받았습니다. 감사 합니다.
6038,5,남자친구꺼랑 제꺼 주문했는데 제건 사이즈가 없어서 1업 크게 주문했는데 너무 져아용 ㅎㅎㅎㅎ
6039,5,맘에듭니다 ㅋㅋ
6040,4,만족
6041,5,배송도 빠르고 상품도 화면과 같아요. 백화점 상품이라 믿고 삽니다.
6042,5,디자인도이쁘고 신어봐도 좋네요
6043,5,반치수업하세요
6044,5,"남편에게  선물 받으면서 좋아 날리 났어요~
갔고싶었던 상품인지라
새해 선물 주는 맘도 좋았어요"
6045,5,아들 졸업선물로 구매했습니다. 좀비싸긴한데 예쁘네요
6046,5,"나이키에어맥스97 트리플화이트는  말이 필요없는 제품이죠..
만족합니다~^~^"
6047,5,역시 에어맥스97... 항상 좋은제품
6048,5,딸아이가이쁘다구너무좋아하네요
6049,5,정말 깔끔하고 좋아요 실버
6050,5,좋아오 아주좋습니다
6051,4,저렴하게 잘샀어요 마음에 들어요
6052,4,반사이즈 크게 추천해서 그렇게 샀는데 이게 맞는거 같습니다! 생각보다 무게가 무겁네요!
6053,5,배송도 빠르고 원하던 색과 사이즈를 살 수 있어서 너무 좋았습니다!
6054,5,아주 맘에 들게 잘 사용중입니다.
6055,4,한 2주만에 받았어요ㅠㅠ 신발은 맥97 말할 필요없이 예쁜데 고무부분이 좀 더러워서 별 하나씩 뺐어요!
6056,5,아주 맘에 들게 잘 사용중입니다.
6057,5,예쁘고 배송도 빨라요!!! 선물받은사람이 너무 조아해요!
6058,5,예뻐요 반업추천드려용
6059,3,"배송은 만족스러운데 마감이 안좋아요.
끈에 본드 묻은거 알콜로 제거하고 신어요. ㅜㅜ
맥스 97 이쁘기는 한데 정말 불편한 운동화네요."
6060,1,새제품인데 제품에 이물질이 묻어있습니다ㅠ 닦아도 닦이지도 않네요ㅠ
6061,5,이뻐요~
6062,5,불 빛에 빛이나서 저녁에 유용하고 멋있습니다.아들이 좋아합니다
6063,5,오히려 딱맞게신는게 에어맥스는 이쁜듯요270신는데 270정사이즈주문햇어요
6064,5,이쁩니다.잘 받았습니다
6065,4,약간 박음질이 거슬리는부분이있지만 그냥 신네요..
6066,5,사이즈는정사이즈지만발볼이작게나온듯하고에어끝나는발가락부분이각이커서  걸음시  앞으로  떨어지는느낌쿠션감은 그리좋지안습니다10짐중   7점드립니다
6067,5,"잘 받았습니다~ 제품에 살짝 긁힘은 있지만 크게 보이는건 아니라 괜찮네요~ 색상은 완전 하얗다기보다는 살짝 아주 연한 베이지?가 섞인듯한 느낌이 있네요~ 선물 줬는데 예쁘다고 참 좋아하네요~

남자-실측 247, 발볼이 ?아서 245사이즈 구매하고 싶었는데 품절이라 어쩔수 없이 250으로 구매했는데 길이는 역시 살짝 좀 남아 아쉽네요ㅜ 그래도 예쁩니다.
여자-실측 233, 발볼은 좀 넓은 편인데 235사이즈 신으니 불편함 없이 딱 맞다고 하네요. 볼이 작게 나와서 240이랑 고민 많이했는데 다행이라고 하네요~

공홈보다 저렴하고 나이키코리아 택에 as까지 가능하다고 하니 좋네요ㅎㅎ 하도 가짜가 많다고 하니ㅜ 잘 신겠습니다~ㅋ"
6068,5,너무 이쁘게 잘 신고 있습니다~~^^
6069,5,생각보다 너무이쁘네요 감사합니다^^
6070,5,신발박스에 비닐보장되서 왔네요 감동 ㅠㅠ 신발 너무 예뻐요  매번 품절이라 못 샀는데 이번에 사서 행복해요
6071,5,빠른배송 감사합니다. 사이즈도 한사이즈 크게 주문했더니 예상했던데로 잘 맞네요.
6072,5,역시 맥스~ 너무 이뻐요 볼이 조금 작게 나와서 원래 250신는데 한사이즈 크게 주문하길 잘한듯~ 그거 말고는 너무 만족합니다 사이즈가 잘못배송되었지만 빠르게 처리해주셔서 구매하고 3일만에 교환까지 완료하여 상품을 받아볼수 있었다는거
6073,5,솔직히 마감상태는 별로인듯...  근데 크게 보이는 부위는 아님ㅇㅇ 예쁨
6074,5,완전 득템~스토어 찜하고 sk신한카드신청하고더 저렴하게 구매했어요
6075,5,배송도빠르고 일본정품이네요 감사합니다
6076,5,너무 마음에 들어요!추천합니다.
6077,4,잘받았습니다 빠른배송 감사합니다. 약간이 이염있는데 큰문제는 안될것같습니다
6078,4,제품은 일본판 정품입니다. 그런데 상태가 영 안좋네요 구매하실분 참고 하세요..
6079,5,좋아요
6080,3,중국에서 우체국택배로 왔는데 박스 뜯어보니 택도없안붙어있고 에어간격이랑 신발끈가죽부분 보니 가품느낌...다른부분은 마감괜찮내요 그래도 찝찝하내요ㅎ
6081,5,"워낙에 유명한 아이템이고, 매장에서도 사이즈가 빨리 빠져서 구하기 힘들었는데 저렴하게 잘 구매했습니다!"
6082,5,"워낙에 유명한 아이템이고, 매장에서도 사이즈가 빨리 빠져서 구하기 힘들었는데 저렴하게 잘 구매했습니다!"
6083,5,좋아요 좋아요
6084,4,배송이 느려 취소할려다가 귀찮아서 그냥 신기로 했어요
6085,5,매장에서 검정색신어보고 구입했는데 이건 조금 끼는듯싶어요 주문해서 배송까지 2주걸렸는데 기다린보람있게 예뻐요 발에 길들여지면 편할듯해요
6086,5,너무 빠른 배송 감사합니다 ^^
6087,5,너무 빠른 배송 감사합니다 ^^
6088,5,좋아요
6089,5,"남편사줬어요
이뻐요"
6090,5,"남편사줬어요
이뻐요"
6091,4,"엄청빨라요,고객응대 좋구요~"
6092,5,고딩 아들이 원해서 주문했구요 에어맥스라 쿠션감 좋고 발 편하다고 아들이 좋아하네요
6093,5,고딩 아들이 원해서 주문했구요 에어맥스라 쿠션감 좋고 발 편하다고 아들이 좋아하네요
6094,5,[나이키] 에어 맥스 97 921826-101 배송 빠름
6095,5,배송빨라요 제품도 좋아요
6096,3,스크레치가 있어요
6097,4,생각했던것처럼이뻐요
6098,5,너무 이쁩니다
6099,5,"반업하라해서 햇더니 편하다하네요
원하던신발이라 완전 만족스러워요"
6100,4,조하조하 다다다가가가 조조하싸
6101,5,잘신겠습니다..다음에 또 주문하겠습니다.
6102,5,좋아요 추천합니다
6103,5,배송빠르고 좋아요~~
6104,5,너무 예뻐요 배송도 만족하구요 픽픽
6105,5,배송빠르고 좋아요~~
6106,5,좋아요 이쁘네요 정사이즈에요
6107,5,좋아요 이쁘네요 정사이즈에요
6108,5,좋아요좋아요좋아요 좋아요좋아요좋아요
6109,4,사진보고 궁금하고 해서 3일만에 도착해 받았고 신발은완전 만족하지는 않고 그냥저냥 그렇습니다.호불호가 있는것같습니다
6110,5,"깔끔하고 이쁘네요
신기는 좀 불편합니다"
6111,5,"깔끔하고 이쁘네요
신기는 좀 불편합니다"
6112,1,짝퉁
6113,3,보통이예요
6114,4,사이즈가 좀 큰편이네요
6115,5,굿 개이쁘다아아ㅏㅏㅏㅏㅏㅏ
6116,5,잘받았습니다 예뻐요 마감도 좋네요
6117,5,굿 개이쁘다아아ㅏㅏㅏㅏㅏㅏ
6118,5,"배송은 휴일포함 10일정도네요
하지만 제품은 깔끔하고 고급스럽네요"
6119,4,"국내싸이즈보다 조금크게나왓어요.
신발고무냄새 심해요.
참고들하세요.
배송은 한2주? 걸린듯"
6120,5,정 230사이즈 발볼 살짝좁은편? 보통?인데사이즈 업하라는 말이 많아서 공홈에서 235  주문했다가키에비해 발도 살짝 커보이구 길이가 좀 남아서 230 여기서 재주문했어요정사이즈 딱맞고 역시 신발은 작을수록 예뻐보이는듯 해요!235샀을땐 생각보다 안예뻐서 그냥 사지말까 했는데 230신으니 예뻐보여요&amp;gt;&amp;lt; 차이 얼마 없을줄 알았는데 차이 은근 있네용 만족이여~
6121,5,하얀게 너무 이뻐요
6122,4,발볼이 좀 있는 넓은발이라 한사이즈크게 주몬했어요 양말신고 딱 맞고 색상은 완전 화이트색상이고 쿠션감있어서 편하다고하네요 이쁘긴한데 가격이 넘 비싼거 흠이네요
6123,5,너무 마음에 들어요! 추천합니다.
6124,1,상품 자체에 이음새가 원만하지 못해 짝튱으로 의심 됩니다. 완전 신뢰 가지 않는 상품입니다.         장점은 딱히.. 이 가격이면 그냥 귀찮아도 매장 가서 살껄 그랬네요
6125,5,너무 마음에 들어요! 추천합니다.너무 마음에 들어요! 추천합니다.너무 마음에 들어요! 추천합니다.너무 마음에 들어요! 추천합니다.너무 마음에 들어요! 추천합니다.너무 마음에 들어요! 추천합니다.너무 마음에 들어요! 추천합니다.너무 마음에 들어요! 추천합니다.너무 마음에 들어요! 추천합니다.너무 마음에 들어요! 추천합니다.너무 마음에 들어요! 추천합니다.너무 마음에 들어요! 추천합니다.
6126,4,매장보다 저렴하게 잘 샀어요잘신고다녀요
6127,5,착화감이 편안하고 좋아요.
6128,4,배송 빠르게 잘 받았구요. 신잘상자가 래핑이 한번 더 된 상태로 와서 깔끔하게 받을수있었어요
6129,5,너무나도 만족합니다!!
6130,5,구하기 어려운 모델을 백화점에서 보내줘서 좋았어요.배송도 빠르고 잘 구매했어요.
6131,5,배송 빠르고 신발도 너무 이뻐요!!
6132,5,좋은 가격에 잘 구매했습니다.
6133,5,너무 마음에 들어요! 추천합니다.
6134,5,너무 싸고 배송도 빠르고 아주 좋아요!!
6135,4,생각보단 배송이 빨리왔네요 정사이즈 이구요 신발이 넘 편해서 맘에 들어요
6136,4,배송완？빠르게와서!!!!완전신나게딱개봉했는데...이염이있네요!!!그리고이거진짜진품인지의심이되네요....만약가품인데이정도금액이면...화날꺼같네요판매자님답변부탁드립니다.
6137,1,"이 제품 작년 가을에 구입했습니다. 그 당시에 트리플화이트 국내배송 바로 되는곳이 여기밖에 없어 급하게 신어야되서 그냥 구입했었습니다. 앞코가 살짝 찌그러져있었는데 크게 신경쓰는스타일도 아니고 해서 그냥 신고 다녔는데 한 세번 신으니까 5번째 사진처럼 갈라지고 2번째 사진처럼 뒷부분이 접혀서 숨이 완전 죽는겁니다. 그래도 그냥 신었습니다. 근데 이번에 공식인증업체에서 맥스97 게임 로얄을 샀는데 완전히 다른겁니다. 그래서 뭐지??하고 트리플화이트 제품을 구글도 뒤져보고 유튜브도 찾아보고 해서 정품들 상세사진 보니까 제 신발의 뒷부분 숨이 완전 죽었던 곳도 살짝 두꺼워서 정품은 납작하게 찌그러지지도 않습니다. 재질도 다릅니다. 그리고 정품보니까 신발깔창 뒷부분에 음각으로 넘버 찍혀있는데 제껀 역시나 없었습니다. 이 제품이 정품인지 가품인지는 모르겠습니다. 하지만 제 트리플화이트 신발이 좋은 상품이 아니라는 생각은 듭니다. 3,4번 사진은 이번에 산 모델은 트리플화이트는 아니지만 맥스97 제품입니다. 퀄리티차이 많이 납니다. Q&amp;A를 보니까 가품일 경우에 어떻게 보장해주냐는 말에 “저희는 홍콩병행수입제품입니다.” 라고만 되있네요. 그냥 급하게 사려고했던 제 자신을 탓하겠습니다."
6138,5,마감이 살짝 아쉬운데&amp;#40;본드자국&amp;#41; 이정도는 그냥 신을만 합니다. 사이즈는 평소보다 5미리 크게 신으시면 되시고 신발 대박 이쁩니다.  정품 살라고 진짜 고생 마니했어요ㅜㅜ 여기서 사세요 파워정품
6139,4,이쁘고또이뻐요ㅎㅎ
6140,5,잘 샀어요 이쁘네요^^^
6141,5,검수한 상품 잘 받았습니다 만족합니다!
6142,5,5미리 크게 주문하니 잘맞네요
6143,5,"많이 기다렸던 상품이라 보자마자 구입했어요  남자꺼라 한치수 작은 걸루 그래도좀 크더라구요.
그래도 좋아요!!"
6144,5,"많이 기다렸던 상품이라 보자마자 구입했어요  남자꺼라 한치수 작은 걸루 그래도좀 크더라구요.
그래도 좋아요!!"
6145,4,배송은 오래 걸리지만 물건 확실하고사장님이 친절히 응대해주셨습니다다만 물품 상세설명에통관에 따른 비용발생 부분을 명시하면더 좋지 않을까 합니다
6146,4,잘받았습니다.
6147,4,신발은 사진그대로구요 배송은 해외배송치곤 생각보단 일찍왓네요 잘신을께요 많이파세요
6148,5,상품 품질이 좋습니다. 마음에 들어요!
6149,5,"너무나도 기다렸던 나이키 에어맥스97 트리플화이트 였는데
이번에 좋은 기회에 구매하게되었어요
280을 주문했다가 작아서 285를 구매했는데
딱좋아요
간혹 나이키는 5미리 크게 신어야하는 제품이 있는데
이건 5미리크게 신으니까 딱 맞네요
잘 신을게요~~"
6150,5,"너무 사고싶었었는데 드디어 구매하네요
잘 신을게요"
6151,5,"너무 사고싶었었는데 드디어 구매하네요
잘 신을게요"
6152,5,신발이 좋은데 배송도빨라요
6153,5,배송이 좀걸렸지만 상품확실합니다.
6154,5,"아들아이 사준건데 예뻐요
큐션도 좋고 어떤옷에도 잘 어울려요"
6155,3,해외배송인건 알고 구매했으나판매자가 카톡문의해도 답변이 없고 읽지도 않고 전화문의도 하였으나 전화도 받지 않음11번가 문의에 답변은 달아줌해외송장번호는 안내는 안알려주고통관중이라는데 답답해서 조회해보려고 했으나뭐 아무것도 알려준게 없어서 조회못해봄국내송장 나오면 문자보내준다고 했으나 문자안옴그리고 아무런 말없이 물건이 도착함^^
6156,5,"아들아이 사준건데 예뻐요
큐션도 좋고 어떤옷에도 잘 어울려요"
6157,5,"해외에서 그매해서 보내주시는거라 배송은 많이 느려요.2주 조금 안되게 걸린것 같아요. 택 없다는 글도 봤는데,일본구입 제품이라 택 달려서 온다고 얘기해주셨고,정품인지 확인전화도 하고,배송 느려서 연락하고 했는데 친절하게 응대해 주셨어요."
6158,3,괘안어요
6159,1,진품인줄 알았는데..     반품하고싶은데 절차가 까다로워 창고에넣어두었습니다.
6160,5,좋은 상품 싸게 잘 샀습니다~~매장보다 훨씬 저렴해요~~
6161,5,역시 에어맥스 97 최고입니다~!!!!
6162,5,좋은 상품 잘 받았습니다~~
6163,5,착용감 좋아요
6164,5,저렴하게 잘 삿어요 아들이 무척 좋아해요
6165,2,"배송은빨랐으나 상품은 최악이네요

97을 10개넘게 가지고있는데 이런거는 첨이네요"
6166,5,"빠른배송

확실한포장 ㅎㅎ

정사이즈 이쁘네요 ㅅㅅ"
6167,5,배송 빠르네요 ㅎㅎ 제품은 갠찬은거 같아요ㅋ 마감도 깔끔하고 지저분 하지도 않고 전체적&amp;#51004;로 박음질도 깔끔하게 되어있어요 진품인것 같습니다 ㅎ
6168,5,잘 받았습니다 감사합니다!
6169,5,잘 받았습니다 감사합니다!
6170,5,잘 받았습니다 감사합니다!
6171,5,잘 받았습니다 감사합니다!
6172,5,배송빠르고 물건좋고 아주 훌륭합니다. 신속하고 정확한배송 물건 아주좋아요 쿠폰도 주어서 물건도 싸게 살수있어서 너무좋아요.
6173,5,신발은 잘샀는데 발볼이너무좁네요ㅠㅠ매진이라 사이즈교환못해서 걍  신을려합니다
6174,5,안쪽에 뜯어져 있기는 한데 품절이고 너무 이뻐서 그냥 신으려구요.
6175,5,발도   편하고  아주 예쁩니다
6176,5,너무 마음에 들어요! 추천합니다.
6177,5,너무 마음에 들어요! 추천합니다.
6178,5,좋은 가격에 잘 구매했습니다.
6179,5,너무 마음에 들어요! 추천합니다.
6180,5,너무 마음에 들어요! 추천합니다.
6181,5,좋은 가격에 잘 구매했습니다.
6182,5,좋은 가격에 잘 구매했습니다.
6183,5,상품 품질이 좋습니다. 마음에 들어요!
6184,5,좋은 가격에 잘 구매했습니다.
6185,5,"잘 받았습니다.
맘에드네요. 
감사합니다."
6186,5,"잘 받았습니다.
맘에드네요. 
감사합니다."
6187,5,"가격이 조금 있지만, 당일출고 및 신발이 너무 예뻐서
만족하고 있습니다. 감사합니다."
6188,4,역시 나이키 에어맥스97 트리플화이트 진리네요
6189,5,민트빛이 돌아서 아쉽네요 배송은 빠르고 좋습니다
6190,5,너무 마음에 들어요! 추천합니다.
6191,5,다좋은데   배송  15일걸리네요인내심 참고  기다려야할듯   이쁩니다
6192,5,역시 최고입니다 발볼넓으신분들은 5mm정도 한치수크게가세요
6193,5,좋아요
6194,5,"신발은 사진그대로 아~주 예쁩니다.
나이키코리아 정품이라서 믿고 구매했는데 마감처리며 모든것에 만족하고 가격도 굉장히 저렴하게 구입했습니다.
발볼이 좁아서 한치수 크게 신어야한다고 하는데 제가 250신는데 발볼이 넓어서 255신었는데 길이는 길고 볼은 좀 좁아서 끈을 최대한 풀어야하더라고요.
그래도 만족합니다~여기저기 정품찾다 싸게 구입해서 만족합니다"
6195,4,가격도 만족 스럽고 상품도 만족스러워요
6196,5,"5월 생산 새제품으로 잘 받았습니다. 배송 빠르고 좋아요

나이키 퀄리티는 97구매하시는분들 다아시죠?"
6197,5,"올 화이트 인줄 알았는데 살짝 민트빛이 도네요
근데 여름이라 오히려 살짝 민트빛이 도는게 더 이쁘네요
반품할까하다가 그냥 신었는데 여친도 예쁘다고 하네요
나이키 코리아탭이고 배송도 아주 빠르고 가격도 17만원대에 구매해서 아주 만족합니다"
6198,5,잘받았습니다
6199,5,해외배송이라 느린거만 빼면 만족합니다. 신발끈에얼룩이 좀 묻어서 왔는데 어차피 신발끈은 바꿀수 예정이라 크게 상관은 없네요 발볼이 커서 원래 280신는데 290로 샀는데도 살짝 타이트 합니다 신다보면 늘어나니 괜찮습니다 싸게 잘산거 같네요 좋은 상품 많이 파세요
6200,5,좋아요
6201,5,"배송 빠르고, 포장 안전하게 해서 비닐로 밀봉까지 해서 오네요~!할인쿠폰까지 사용하니 나이키 공홈보다도 저렴하게 구입해서 좋았습니다. 후레쉬 터트려서 스카치도 잘나오구요~
사이즈는 평소 신으시는 사이즈 신으시면 될것 같습니다.
트리플 화이트라 깔끔하니 심플해서 아주 이쁩니다."
6202,5,"97트리플화이트야 말이 필요없는 상품이라...
품절되기전에 잽싸게 겨우 잘 샀네요"
6203,5,싸게 잘샀습니다. 고마워요 엘지!
6204,5,나이키코리아 택 붙은  백화점 매장정품입니다...2019년 5월 제조했네요 신발안쪽 택 이랑 박스 글씨체가 살짝 변했습니다~~(박스 글씨체는 기존꺼보다 훨씬 작아졌습니다) 수입산 검증안된 짝퉁을 병행정품이라고 속여파는 업체에 비싸게 주시고 사지 마세요 70~80프로가 짭입니다 겉만 비슷하지 착화감 소재가 폐급입니다 되도록 정식매장을 이용하세요ㅋㅋㅖ 운좋게 검증된 곳에서 쿠폰써서 백화점보다  저렴하게  구매했습니드ㅔ~
6205,5,배송 빠르고 잘 샀습니다
6206,5,아들이  사고 싶어하던 운동화 좋은 가걱에 잘구매했어요
6207,5,정사이즈인거같고 예쁘고 편하데요
6208,5,좋아요 만족합니다
6209,5,빠른 배송 제품도 만족합니다
6210,5,아이 선물로 구입했는데 넘 좋아할것 같아요^^배송만 조금 일찍 오면 좋겠네요~^^
6211,4,상품은 하자없이 정말예쁘고좋은데 10일주문에 28일도착했네요..ㅜ 잘신겠습니다^^구매하시는분들도 구매후에 잊을만하면 도착한다고 생각하심 될듯하네요.
6212,5,배송은  15일 걸렸구요  광저우에서 엄청 오래 걸리더라구요 ㅠ중국에서 보내시길래 가품일까 하는 의심이 생겼지만받아서 정가품 비교사이트가서 비교해보니 정품이 맞는듯해요 ㅎㅎ지금은 제가 살때보다 가격이 올랐네요정말 저렴하게 잘샀구요 기다린 보람이 있어요 ㅎㅎ선물로 구입했는데 받는 사람도 넘 좋아하구요
6213,5,진짜 에어맥스97 트리플화이트는 더 말이 필요없네요 진짜 너무 예뻐요 제 인생 신발 ㅎㅎ
6214,5,"저렴하게 정말 잘 샀습니다!!
사이즈는 무조건 반업 하시길"
6215,5,역시 이쁩니다. 잘 신겠습니다.
6216,4,만족합니다. 배송이야뭐 해외니 그렇다치고 상품은괜찮아요
6217,5,잘 받았습니다 감사합니다.
6218,5,잘받았습니다 감사합니다~!
6219,5,잘받았습니다 감사합니다
6220,5,잘 받았습니다 감사합니다.
6221,5,잘 받았습니다 감사합니다
6222,5,잘 받았습니다 감사합니다
6223,5,잘 받았습니다 감사합니다.
6224,5,잘 받았습니다 감사합니다.
6225,5,잘 받았습니다 감사합니다.
6226,3,이거 짝퉁같습니다.믿고샀는데 이런게 오나요?
6227,5,포장 너무 깔끔하고 배송도 빠르네요
6228,5,역시 에어맥스 97  겁나이쁨
6229,3,배송이 느리고 조회가 않돼서 좀 답답한거 외에는운동화는 깔끔하네요~
6230,5,배송은 2주정도 걸렷지만 퀄리티도 좋고 판매자분도 친절하게 답도 잘 달아주시고 만족스럽습니다!!
6231,5,남치니랑 커플 신발로 샀는데 이뻐용ㅎㅎㅎㅎㅎ95랑 비교하면 사이즈가 좀 작게 나와서 한사이즈업 추천드려용ㅎㅎ
6232,5,너무만족합니다커플템으로 샀는데 탁월한 선택이었습니다!!!
6233,5,"빠른 배송 감사합니다.
주문하고 10일정도 걸리네요.
아직 신지는 않아..
많이 판매하세요."
6234,5,가품일까 걱정했는데 정품이네요. 마감도 괜찮고 우체국 국제택배로 일주일 정도 걸렸어요. 두켤레 주문했는데 만족합니다.
6235,5,아내가 가지고 싶어하던 운동화 가격 좋게 구매해서 좋네요 해외배송이라 늦게 도착하는게 좀 아쉽지만 그래도 너무 늦진 않아 다행이네요
6236,5,"울 아들 신발인데,살짝 무거운 감은 있는데 착화감은 좋다고 하네요"
6237,5,역시나 에어맥스 97 트리플화이트 예쁜만큼이나 구하기 어려웠는데 여기서  괜찮은 가격에 겟잇했네요 ㅎㅎ 만족 합니다 감사합니다 많이 파세요~
6238,5,너무 맘에들고 배송도 빨라서 좋았어요 ㅠㅜㅠ
